,scientific_name,common_name,before,after,reason_for_change,Category,year
1,Alouatta caraya,Black-and-gold Howler Monkey,LC,NT,G,Mammals,2019
2,Alouatta guariba,Brown Howler Monkey,LC,VU,G,Mammals,2019
3,Alouatta palliata,Mantled Howler Monkey,LC,VU,N,Mammals,2019
4,Alouatta puruensis,Pur�s Red Howler Monkey,LC,VU,G,Mammals,2019
7,Ateles fusciceps,Brown-headed Spider Monkey,CR,EN,N,Mammals,2019
11,Berardius arnuxii,Arnoux's Beaked Whale,DD,LC,N,Mammals,2019
14,Cacajao ayresi,Ayres Black Uakari,VU,LC,N,Mammals,2019
15,Callithrix flaviceps,Buffy-headed Marmoset,EN,CR,G,Mammals,2019
19,Cebuella niveiventris,Eastern Pygmy Marmoset,LC,VU,G,Mammals,2019
20,Cebuella pygmaea,Western Pygmy Marmoset,LC,VU,N,Mammals,2019
21,Cebus cesarae,R�o Cesar White-fronted Capuchin,DD,EN,N,Mammals,2019
34,Chiropotes albinasus,White-nosed Saki,EN,VU,N,Mammals,2019
35,Chiropotes satanas,Black Bearded Saki,CR,EN,N,Mammals,2019
36,Chiropotes utahickae,Uta Hick's Bearded Saki,EN,VU,N,Mammals,2019
61,Kogia breviceps,Pygmy Sperm Whale,DD,LC,N,Mammals,2019
62,Kogia sima,Dwarf Sperm Whale,DD,LC,N,Mammals,2019
63,Leontocebus illigeri,Illiger's Saddle-back Tamarin,LC,NT,G,Mammals,2019
75,Lycalopex vetulus,Hoary Fox,LC,NT,G,Mammals,2019
81,Mesoplodon bidens,Sowerby's Beaked Whale,DD,LC,N,Mammals,2019
82,Mesoplodon densirostris,Blainville's Beaked Whale,DD,LC,N,Mammals,2019
83,Mesoplodon europaeus,Gervais' Beaked Whale,DD,LC,N,Mammals,2019
84,Mesoplodon grayi,Gray's Beaked Whale,DD,LC,N,Mammals,2019
85,Mesoplodon layardii,Strap-toothed Whale,DD,LC,N,Mammals,2019
86,Mesoplodon mirus,True's Beaked Whale,DD,LC,N,Mammals,2019
88,Mesoplodon peruvianus,Pygmy Beaked Whale,DD,LC,N,Mammals,2019
90,Mico humeralifer,Black And White Tassel-ear Marmoset,DD,NT,N,Mammals,2019
91,Mico melanurus,Black-tailed Marmoset,LC,NT,G,Mammals,2019
126,Pithecia milleri,Miller's Saki,DD,VU,N,Mammals,2019
128,Plecturocebus brunneus,Brown Titi Monkey,LC,VU,G,Mammals,2019
154,Saguinus leucopus,Silvery-brown Tamarin,EN,VU,N,Mammals,2019
155,Sapajus flavius,Blonde Capuchin,CR,EN,N,Mammals,2019
161,Sotalia fluviatilis,Tucuxi,DD,EN,N,Mammals,2019
172,Thomasomys pyrrhonotus,Thomas's Oldfield Mouse,VU,DD,N,Mammals,2019
0,Accipiter collaris,Semi-collared Hawk,NT,LC,N,Birds,2019
6,Aglaeactis aliciae,Purple-backed Sunbeam,EN,VU,N,Birds,2019
13,Amazona diadema,Diademed Amazon,EN,LC,N,Birds,2019
14,Amazona lilacina,Lilacine Amazon,EN,CR,N,Birds,2019
16,Anumara forbesi,Forbes's Blackbird,EN,VU,N,Birds,2019
19,Ara ambiguus,Great Green Macaw,EN,CR,N,Birds,2019
21,Atlapetes flaviceps,Yellow-headed Brush-finch,EN,NT,N,Birds,2019
22,Bangsia aureocincta,Gold-ringed Tanager,EN,VU,N,Birds,2019
24,Cacicus koepckeae,Selva Cacique,EN,NT,N,Birds,2019
25,Campylopterus phainopeplus,Santa Marta Sabrewing,EN,CR,N,Birds,2019
26,Capito quinticolor,Five-colored Barbet,VU,NT,N,Birds,2019
27,Capito squamatus,Orange-fronted Barbet,NT,LC,N,Birds,2019
29,Caryothraustes erythromelas,Red-and-black Grosbeak,NT,LC,N,Birds,2019
30,Cercomacra ferdinandi,Bananal Antbird,VU,NT,N,Birds,2019
31,Chaetocercus berlepschi,Esmeraldas Woodstar,EN,VU,N,Birds,2019
36,Clibanornis erythrocephalus,Henna-hooded Foliage-gleaner,VU,NT,N,Birds,2019
37,Clibanornis rufipectus,Santa Marta Foliage-gleaner,NT,VU,N,Birds,2019
38,Coeligena consita,Perija Starfrontlet,VU,EN,N,Birds,2019
39,Coeligena orina,Glittering Starfrontlet,CR,EN,N,Birds,2019
40,Conirostrum tamarugense,Tamarugo Conebill,VU,LC,N,Birds,2019
44,Cranioleuca marcapatae,Marcapata Spinetail,VU,LC,N,Birds,2019
45,Cranioleuca weskei,Vilcabamba Spinetail,NT,LC,N,Birds,2019
47,Cryptoleucopteryx plumbea,Plumbeous Hawk,VU,NT,N,Birds,2019
48,Crypturellus atrocapillus,Black-capped Tinamou,NT,LC,N,Birds,2019
49,Crypturellus duidae,Grey-legged Tinamou,NT,LC,N,Birds,2019
51,Dysithamnus leucostictus,White-streaked Antvireo,VU,LC,N,Birds,2019
53,Eriocnemis nigrivestis,Black-breasted Puffleg,CR,EN,N,Birds,2019
55,Eubucco steerii,Blue-cowled Barbet,NT,LC,N,Birds,2019
61,Grallaria carrikeri,Pale-billed Antpitta,NT,LC,N,Birds,2019
63,Hylocichla mustelina,Wood Thrush,NT,LC,G,Birds,2019
65,Jacamaralcyon tridactyla,Three-toed Jacamar,VU,NT,N,Birds,2019
68,Leptosittaca branickii,Golden-plumed Parakeet,VU,LC,N,Birds,2019
69,Leptotila conoveri,Tolima Dove,EN,NT,N,Birds,2019
72,Malacoptila striata,Greater Crescent-chested Puffbird,NT,LC,N,Birds,2019
77,Mimus melanotis,San Cristobal Mockingbird,EN,NT,N,Birds,2019
78,Myrmoborus lophotes,White-lined Antbird,NT,LC,N,Birds,2019
79,Nannopsittaca dachilleae,Amazonian Parrotlet,NT,LC,N,Birds,2019
80,Nothocercus nigrocapillus,Hooded Tinamou,VU,LC,N,Birds,2019
82,Ochthoeca piurae,Piura Chat-tyrant,NT,LC,N,Birds,2019
84,Odontophorus hyperythrus,Chestnut Wood-quail,NT,LC,N,Birds,2019
85,Ognorhynchus icterotis,Yellow-eared Parrot,EN,VU,G,Birds,2019
87,Pelecanoides garnotii,Peruvian Diving-petrel,EN,NT,N,Birds,2019
88,Phacellodomus dorsalis,Chestnut-backed Thornbird,VU,NT,N,Birds,2019
90,Phylloscartes difficilis,Serra do Mar Tyrannulet,NT,LC,N,Birds,2019
92,Piprites pileata,Black-capped Piprites,VU,NT,N,Birds,2019
93,Podiceps taczanowskii,Junin Grebe,CR,EN,G,Birds,2019
